Country1,Continent1,Country2,Continent2,Year,Value
United States,North America,United States,North America,1992,0
United States,North America,Canada,North America,1992,71752065
United States,North America,Mexico,North America,1992,4405160
United States,North America,Brazil,South America,1992,1363853
United States,North America,Argentina,South America,1992,7194648
United States,North America,United Kingdom,Europe,1992,6307393
United States,North America,Netherlands,Europe,1992,1981779
United States,North America,Belgium,Europe,1992,16579117
United States,North America,France,Europe,1992,13086743
United States,North America,Switzerland,Europe,1992,7462353
United States,North America,Spain,Europe,1992,49478357
United States,North America,Portugal,Europe,1992,936113
United States,North America,Germany,Europe,1992,23896849
United States,North America,Poland,Europe,1992,0
United States,North America,Austria,Europe,1992,2128358
United States,North America,Hungary,Europe,1992,30425
United States,North America,Czech Republic,Europe,1992,634118
United States,North America,Slovakia,Europe,1992,0
United States,North America,Italy,Europe,1992,10954315
United States,North America,Croatia,Europe,1992,0
United States,North America,Serbia,Europe,1992,19238
United States,North America,Bosnia,Europe,1992,0
United States,North America,Greece,Europe,1992,2886394
United States,North America,Bulgaria,Europe,1992,0
United States,North America,Romania,Europe,1992,0
United States,North America,Russia,Asia,1992,21636
United States,North America,Ukraine,Europe,1992,0
United States,North America,Finland,Europe,1992,1324356
United States,North America,Sweden,Europe,1992,2580750
United States,North America,Norway,Europe,1992,2312826
United States,North America,Denmark,Europe,1992,2737492
United States,North America,South Africa,Africa,1992,725365
United States,North America,Turkey,Asia,1992,8105202
United States,North America,Iraq,Asia,1992,0
United States,North America,Lebanon,Asia,1992,1301333
United States,North America,Israel,Asia,1992,4052084
United States,North America,Taiwan,Asia,1992,46136131
United States,North America,South Korea,Asia,1992,5149776
United States,North America,Japan,Asia,1992,4797017
United States,North America,India,Asia,1992,27439
United States,North America,Pakistan,Asia,1992,990320
United States,North America,Thailand,Asia,1992,13462444
United States,North America,Singapore,Asia,1992,881407
United States,North America,Philippines,Asia,1992,934575
United States,North America,Indonesia,Asia,1992,161977
United States,North America,Australia,Oceania,1992,22706080
United States,North America,Cyprus,Europe,1992,11517
United States,North America,China,Asia,1992,7994
United States,North America,Ivory Coast,Africa,1992,0
United States,North America,Iran,Asia,1992,0
Canada,North America,United States,North America,1992,6234999
Canada,North America,Canada,North America,1992,0
Canada,North America,Mexico,North America,1992,0
Canada,North America,Brazil,South America,1992,0
Canada,North America,Argentina,South America,1992,115477
Canada,North America,United Kingdom,Europe,1992,218786
Canada,North America,Netherlands,Europe,1992,52105
Canada,North America,Belgium,Europe,1992,99185
Canada,North America,France,Europe,1992,358058
Canada,North America,Switzerland,Europe,1992,117599
Canada,North America,Spain,Europe,1992,43408
Canada,North America,Portugal,Europe,1992,0
Canada,North America,Germany,Europe,1992,681542
Canada,North America,Poland,Europe,1992,9619
Canada,North America,Austria,Europe,1992,353126
Canada,North America,Hungary,Europe,1992,4680
Canada,North America,Czech Republic,Europe,1992,0
Canada,North America,Slovakia,Europe,1992,0
Canada,North America,Italy,Europe,1992,388510
Canada,North America,Croatia,Europe,1992,0
Canada,North America,Serbia,Europe,1992,0
Canada,North America,Bosnia,Europe,1992,0
Canada,North America,Greece,Europe,1992,7945
Canada,North America,Bulgaria,Europe,1992,326283
Canada,North America,Romania,Europe,1992,0
Canada,North America,Russia,Asia,1992,0
Canada,North America,Ukraine,Europe,1992,0
Canada,North America,Finland,Europe,1992,58657
